,temperature_celsius,temperature_celsius,temperature_celsius,temperature_celsius,humidity_percent,humidity_percent,humidity_percent,humidity_percent,wind_speed_kph,wind_speed_kph,wind_speed_kph,wind_speed_kph,temperature_fahrenheit,temperature_fahrenheit,temperature_fahrenheit,temperature_fahrenheit
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
city,,,,,,,,,,,,,,,,
London,10.4,10.4,6.0,14.8,67.5,67.5,60.0,75.0,20.0,20.0,20.0,20.0,50.72,50.72,42.8,58.64
New York,3.14,3.4,0.5,5.0,48.5,48.5,37.0,60.0,13.38,10.2,10.0,26.3,37.65,38.12,32.9,41.0
Tokyo,8.08,10.0,-1.7,10.2,55.5,55.5,50.0,61.0,16.4,17.6,5.0,23.0,46.55,50.0,28.94,50.36
